2002,How You Remind Me,Foolish,Hot in Herre,Dilemma,Wherever you Will Go,A Thousand Miles,In the End,What’s Luv?,U Got it Bad,Blurry,Complicated,Always on Time,Ain’t it Funny,The Middle,I Need a Girl (Part One),U Don’t have to Call,Family Affair,I Need a Girl (Part Two),Gangsta Lovin’,My Sacrifice,Without Me,Hero,All You Wanted,Get the Party Started,Hero,Wasting My Time,One Last Breath,"Whenever, Wherever",I’m Gonna Be Alright,Oh Boy,Heaven,Hey Baby,Girlfriend,Just a Friend 2002,Soak up the Sun,Don’t Let Me Get Me,Nothin’,Oops (Oh My),A Moment Like This,Addictive,Happy,No Such Thing,Just Like a Pill,Down 4 U,Can’t Get You Out Of My Head,Superman (It’s not Easy),Cleanin’ out my Closet,Halfcrazy,"Lights, Camera, Action!",Still Fly,A Woman’s Worth,7 Days,Hey Ma,Work It,Move Bitch,Can’t Fight the Moonlight,Escape,More than a Woman,Hello Good,I Love You,Gotta Get Thru This,Pass the Courvoisier Part II,Lose Yourself,Butterflies,What About Us?,Underneath your Clothes,Rainy Dayz,Differences,If I could Go!,The Whole World,Underneath it All,Caramel,Luv U Better,Gimme the Light,Gone,Livin’ it Up,Roll Out (My Business),Here is Gone,No More Drama,Days go By,Baby,The Good Stuff,We Thuggin’,Good Morning Beautiful,Rock the Boat,Drive (For Daddy Gene),Standing Still,Anything,Full Moon,Uh Huh,A New Day has Come,Turn Off the Light,Living and Living Well,My List,Hands Clean,Sk8er Boi,Long Time Gone,Where Were You (When the World Stopped Turning),Like I Love You,I Do!!
2003,In Da Club,Ignition,Get Busy,Crazy in Love,When I’m Gone,Unwell,Right Thurr,Miss You,Picture,Bring me to Life,Get Low,Baby Boy,Shake Ya Tailfeather,21 Questions,All I Have,Beautiful,I Know What You Want,I'm with You,Drift Away,Magic Stick,P.I.M.P.,"Bump, Bump, Bump",Into You,Can't Let You Go,Mesmerize,Where Is the Love?,The Game of Love,Lose Yourself,Rock wit U (Awww Baby),Cry Me a River,How You Gonna Act Like That,Rock Your Body,No Letting Go,Frontin',Landslide,Work It,03 Bonnie & Clyde,Don't Mess with My Man,So Gone,Air Force Ones,"Never Leave You (Uh Oooh, Uh Oooh)",Beautiful,Gossip Folks,Miss Independent,Calling All Angels,Damn!,This Is the Night,Your Body Is a Wonderland,Headstrong,In Those Jeans,Stand Up,The Remedy (I Won't Worry),Why Don't You & I,Excuse Me Miss,Jenny from the Block,Are You Happy Now?,Forever and for Always,I Can,Underneath It All,If You're Not the One,Thoia Thoing,Here Without You,Wanksta,My Love Is Like...Wo,It's Five O'Clock Somewhere,Like Glue,Can't Hold Us Down,My Front Porch Looking In,Angel,She Hates Me,Don't Wanna Try,The Jump Off,Intuition,Hell Yeah,Beer for My Horses,Holidae In,Suga Suga,Love of My Life (An Ode to Hip-Hop),Fighter,Thugz Mansion,Clocks,Put That Woman First,Rain on Me,19 Somethin',"Can't Stop, Won't Stop",Red Dirt Road,What Was I Thinkin',Flying Without Wings,Sing for the Moment,Have You Forgotten?,"No Shoes, No Shirt, No Problems",Come Over,Sick of Being Lonely,Step in the Name of Love,I Want You,Like a Stone,Don't Know Why,Superman,Real Good Man,Say Yes
2004,Yeah!,Burn,If I Ain’t Got You,This Love,The Way You Move,The Reason,I Don’t Wanna Know,Hey Ya!,Goodies,Lean Back,Tipsy,Confessions Part II,Slow Motion,Freek-a-Leek,Here Without You,Slow Jamz,Someday,Naughty Girl,My Immortal,Sunshine,Dirt Off Your Shoulder,Move Ya Body,Dip It Low,My Boo,One Call Away,"Me, Myself and I",Turn Me On,The First Cut Is the Deepest,You Don't Know My Name,My Place,Overnight Celebrity,Hotel,Numb,Diary,She Will Be Loved,White Flag,Heaven,It's My Life,Pieces of Me,Leave (Get Out),Milkshake,Splash Waterfalls,Jesus Walks,Locked Up,Stand Up,Suga Suga,All Falls Down,Toxic,Salt Shaker,With You,Meant to Live,I Like That,Sorry 2004,My Happy Ending,On Fire,Roses,Walked Outta Heaven,Lose My Breath,My Band,I'm Still in Love with You,Through the Wire,Why?,Fuck It (I Don't Want You Back),Read Your Mind,Game Over (Flip),One Thing,Headsprung,Damn!,Baby Boy,Get Low,Drop It Like It's Hot,U Should've Known Better,On the Way Down,Breakaway,Why Don't You & I,Are You Gonna Be My Girl,100 Years,Step in the Name of Love,Breaking the Habit,Gigolo,Live Like You Were Dying,Remember When,Everytime,Southside,Dude,Wanna Get to Know You,Holidae In,Let's Get It Started,When the Sun Goes Down,American Soldier,Change Clothes,Don't Tell Me,You'll Think of Me,Happy People,Hey Mama,Over and Over,Redneck Woman,Just Lose It,Letters from Home,I Go Back
2005,We Belong Together,Hollaback Girl,Let Me Love You,Since U Been Gone,"1, 2 Step",Gold Digger,Boulevard of Broken Dreams,Candy Shop,Don’t Cha,Behind These Hazel Eyes,Disco Inferno,You and Me,Don't Phunk with My Heart,Lose Control,Shake It Off,Mr. Brightside,Just a Lil Bit,Pon de Replay,How We Do,Beverly Hills,Oh,Lonely No More,Drop It Like It's Hot,Hate It or Love It,Lovers & Friends,Soldier,Breakaway,Switch,Let Me Hold You,Like You,Rich Girl,My Humps,Obsession (No Es Amor),Caught Up,Listen to Your Heart,Scars,Feel Good Inc.,Let Me Go,Holiday,"Sugar, We're Goin Down",Grind with Me,Run It!,Photograph,Lonely,Collide,Wake Me Up When September Ends,Slow Down,Over and Over,Some Cut,Get It Poppin',Play,Soul Survivor,Pimpin' All Over the World,My Boo,Sugar (Gimme Some),Karma,Speed of Sound,I Don't Want to Be,Mockingbird,La Tortura,She Will Be Loved,Baby I'm Back,Wait (The Whisper Song),Incomplete,Bring Em Out,Cater 2 U,1 Thing,Best of You,It's Like That,Goin' Crazy,Inside Your Heaven,Because of You,Truth Is,Your Body,Beautiful Soul,Cool,Get Back,Outta Control,U Don't Know Me,These Words,Don't Lie,Get Right,Daughters,As Good as I Once Was,Girlfight,Lose My Breath,Ordinary People,We Be Burnin',Just the Girl,TRUE,O,Back Then,Numb/Encore,Wonderful,I'm Sprung,Chariot,U Already Know,Mississippi Girl,Number One Spot,Give Me That
2006,Bad Day,Temperature,Promiscuous,You’re Beautiful,Hips Don’t Lie,Unwritten,Crazy,Ridin’,Sexyback,Check on It,Be Without You,Grillz,Over My Head (Cable Car),Me & U,Buttons,Run It!,So Sick,It's Goin' Down,SOS,I Write Sins Not Tragedies,Move Along,London Bridge,Dani California,Snap Yo Fingers,"Lean wit It, Rock wit It",What Hurts the Most,How to Save a Life,Unfaithful,Chasing Cars,Lips of an Angel,Everytime We Touch,Ain't No Other Man,"Dance, Dance",Gold Digger,Money Maker,Ms. New Booty,(When You Gonna) Give It Up to Me,Photograph,Because of You,Stickwitu,I'm 'n Luv (wit a Stripper),My Humps,Where'd You Go,Yo (Excuse Me Miss),Walk Away,Laffy Taffy,What You Know,Dirty Little Secret,Savin' Me,Don't Forget About Us,Sexy Love,U and Dat,Far Away,What's Left of Me,So What,Do It to It,Black Horse and the Cherry Tree,There It Go (The Whistle Song),Shoulder Lean,Unpredictable,My Love,Shake That,Pullin' Me Back,Bossy,Chain Hang Low,Smack That,One Wish,"Sugar, We're Goin Down",Gimme That,I Know You See It,Who Says You Can't Go Home,Too Little Too Late,Touch It,Rompe,Déjà Vu,Life Is a Highway,Call Me When You're Sober,"Jesus, Take the Wheel",Show Stopper,Get Up,We Be Burnin',Hate Me,You and Me,Beep,I Think They Like Me,Say Goodbye,Waiting on the World to Change,Soul Survivor,Pump It,When I'm Gone,Hung Up,Stay Fly,Love,When You're Mad,Why You Wanna,Stupid Girls,Feel Good Inc.,I'm Sprung,Do I Make You Proud,For You I Will (Confidence)
2007,Irreplaceable,Umbrella,The Sweet Escape,Big Girls Don’t Cry,Buy U A Drank (Shawty Snappin’),Before He Cheats,Hey There Delilah,I Wanna Love You,Say It Right,Glamorous,Don't Matter,Girlfriend,Makes Me Wonder,Party Like a Rockstar,Smack That,This Is Why I'm Hot,It's Not Over,The Way I Are,Fergalicious,Crank That (Soulja Boy),Give It to Me,What Goes Around... Comes Around,Cupid's Chokehold,How to Save a Life,Home,My Love,Stronger,We Fly High,U + Ur Hand,Walk It Out,Beautiful Girls,"This Ain't a Scene, It's an Arms Race",Bartender,"Pop, Lock & Drop It",Runaway Love,Rockstar,Thnks fr th Mmrs,What I've Done,Summer Love,You,Wait for You,Last Night,Make It Rain,Make Me Better,Ice Box,Lips of an Angel,Waiting on the World to Change,Lost Without U,I'm a Flirt,If Everyone Cared,Get It Shawty,Face Down,The Way I Live,Shortie Like Mine,It Ends Tonight,A Bay Bay,Because of You,I Tried,Welcome To The Black Parade,Shawty,Chasing Cars,Beautiful Liar,SexyBack,Keep Holding On,Let It Go,Apologize,Bubbly,Like a Boy,Who Knew,Never Again,Promise,Bed,Throw Some D's,Rehab,Big Shit Poppin' (Do It),No One,The Great Escape,2 Step,Walk Away (Remember Me),Go Getta,Here (In Your Arms),On the Hotline,Wind It Up,Cyclone,Break It Off,First Time,Ayo Technology,Outta My System,Teardrops on My Guitar,Shut Up and Drive,Snow (Hey Oh),Money Maker,Kiss Kiss,Far Away,Rock Yo Hips,LoveStoned,Better than Me,Paralyzer,That's That,Same Girl
2008,Low,Bleeding Love,No One,Lollipop,Apologize,No Air,Love Song,Love In This Club,With You,Forever,Sexy Can I,Take a Bow,Viva la Vida,I Kissed a Girl,Whatever You Like,Disturbia,Don't Stop the Music,Pocketful of Sunshine,Kiss Kiss,Closer,Bubbly,Touch My Body,4 Minutes,So What,Paralyzer,Clumsy,I'm Yours,Leavin',Dangerous,Tattoo,See You Again,Shake It,Stop and Stare,Take You There,Paper Planes,Hot n Cold,Live Your Life,Bust It Baby (Part 2),American Boy,Got Money,Our Song,Damaged,A Milli,Sorry,Independent,Can't Believe It,Like You'll Never See Me Again,Teardrops on My Guitar,When I Grow Up,Sexual Eruption,What You Got,It's Not My Time,Better in Time,Crank That (Soulja Boy),Shadow of the Day,Sweetest Girl (Dollar Bill),Miss Independent,Fall for You,In the Ayer,Say,One Step at a Time,Hate That I Love You,Superstar,Suffocate,Let It Rock,Get Like Me,Realize,Put On,The Time of My Life,Lolli Lolli (Pop That Body),Cyclone,Love Like This,Burnin' Up,Love Lockdown,I Luv Your Girl,Crush,Hypnotized,Big Girls Don't Cry,Good Life,Womanizer,Love Story,Just Fine,Piece of Me,The Boss,All Summer Long,Can't Help but Wait,In Love with a Girl,My Life,I Remember,Flashing Lights,Mrs. Officer,7 Things,You're Gonna Miss This,Love Remains the Same,Feels Like Tonight,The Way I Are,Addicted,Into the Night,Heaven Sent,She Got It
2009,Boom Boom Pow,Poker Face,Just Dance,I Gotta Feeling,Love Story,Right Round,I’m Yours,Single Ladies (Put A Ring On It),Heartless,Gives You Hell,You Belong with Me,Dead and Gone,You Found Me,Use Somebody,Knock You Down,Blame It,I Know You Want Me (Calle Ocho),Live Your Life,Kiss Me thru the Phone,Down,The Climb,Best I Ever Had,My Life Would Suck Without You,Halo,Hot n Cold,Second Chance,Circus,Day 'n' Nite,Party in the U.S.A.,Don't Trust Me,Run This Town,Let It Rock,Fire Burning,Whatcha Say,LoveGame,Waking Up in Vegas,Birthday Sex,Sober,Womanizer,Whatever You Like,Obsessed,Mad,Good Girls Go Bad,Love Lockdown,So What,Hotel Room Service,Crack a Bottle,If I Were a Boy,Turnin Me On,I Hate This Part,Gotta Be Somebody,Please Don't Leave Me,Paparazzi,Beautiful,Viva la Vida,Right Now (Na Na Na),Battlefield,Sugar,Miss Independent,Fireflies,New Divide,Empire State of Mind,No Surprise,She Wolf,Break Up,Sweet Dreams,Every Girl,Fallin' for You,Untouched,If Today Was Your Last Day,Throw It in the Bag,Love Drunk,I Love College,If U Seek Amy,Big Green Tractor,White Horse,Disturbia,21 Guns,Turn My Swag On,Rockin' That Thang,Chicken Fried,Diva,Replay,Then,Her Diamonds,How Do You Sleep?,3,Forever,One Time,I Run to You,I Do Not Hook Up,Green Light,People Are Crazy,Whatever It Is,Already Gone,Goodbye,Say Hey (I Love You),Pop Champagne,Pretty Wings,Never Say Never
2010,TiK ToK,Need You Now,"Hey, Soul Sister",California Gurls,OMG,Airplanes,Love The Way You Lie,Bad Romance,Dynamite,Break Your Heart,Nothin' on You,I Like It,BedRock,In My Head,Rude Boy,Telephone,Teenage Dream,Just the Way You Are,Cooler Than Me,Imma Be,Empire State of Mind,DJ Got Us Fallin' in Love,Billionaire,Not Afraid,Replay,Sexy Bitch,Breakeven,Your Love Is My Drug,I Gotta Feeling,Fireflies,Say Aah,Find Your Love,Alejandro,Ridin' Solo,Just a Dream,How Low,Like a G6,Carry Out,Haven't Met You Yet,Club Can't Handle Me,Down,Bulletproof,Whatcha Say,Baby,Whataya Want from Me,Mine,Only Girl (In the World),Live Like We're Dying,Hard,Young Forever,Blah Blah Blah,Bottoms Up,Do You Remember,All the Right Moves,According to You,My Chick Bad,You Belong with Me,Meet Me Halfway,Take It Off,Over,Animal,Misery,Magic,Paparazzi,Tie Me Down,Your Love,Party in the U.S.A.,Deuces,3,Impossible,Forever,Two Is Better Than One,My First Kiss,Already Gone,Rock That Body,Secrets,Naturally,Un-Thinkable (I'm Ready),All I Do Is Win,I Made It (Cash Money Heroes),Stuck Like Glue,Hey Daddy (Daddy's Home),There Goes My Baby,Today Was a Fairytale,Say Something,Sweet Dreams,Use Somebody,Undo It,Eenie Meenie,Right Above It,The House That Built Me,If I Die Young,The Only Exception,American Honey,King of Anything,Life After You,Smile,Teach Me How to Dougie,Try Sleeping with a Broken Heart,"Lover, Lover"
2011,Rolling In The Deep,Party Rock Anthem,Firework,E.T.,Give Me Everything,Grenade,F**K You (Forget You),Super Bass,Moves Like Jagger,Just Can’t Get Enough,On the Floor,S&M,Pumped Up Kicks,Last Friday Night (T.G.I.F.),Just the Way You Are,Tonight (I'm Lovin' You),Raise Your Glass,Born This Way,F**kin' Perfect,What's My Name?,Look at Me Now,Down on Me,How to Love,Someone Like You,Good Life,The Lazy Song,Till the World Ends,The Show Goes On,The Edge of Glory,We R Who We R,Black and Yellow,Tonight Tonight,Blow,Lighters,If I Die Young,Stereo Hearts,The Time (Dirty Bit),Coming Home,Hey Baby (Drop It to the Floor),Only Girl (In the World),6 Foot 7 Foot,Just a Kiss,Dirt Road Anthem,Dynamite,No Hands,I Wanna Go,I'm on One,You Make Me Feel...,Yeah 3x,Moment 4 Life,I Need a Doctor,Just a Dream,Motivation,Stereo Love,Jar of Hearts,Roll Up,Sexy and I Know It,Rocketeer,All of the Lights,Hold It Against Me,More,What the Hell,Written in the Stars,Bottoms Up,DJ Got Us Fallin' in Love,For the First Time,Honey Bee,Don't You Wanna Stay,We Found Love,Pretty Girl Rock,Yoü and I,Like a G6,Without You,Back to December,Teenage Dream,Crazy Girl,Cheers (Drink to That),Who Says,Barefoot Blue Jean Night,Knee Deep,Country Girl (Shake It for Me),Remind Me,In the Dark,Backseat,Headlines,Best Thing I Never Had,Don't Wanna Go Home,Where Them Girls At,She Ain't You,Take a Back Road,Please Don't Go,Sure Thing,Price Tag,God Gave Me You,She Will,Are You Gonna Kiss Me or Not,Animal,You and Tequila,Colder Weather,My Last
